"FREQ";"Y";"r xyce/I(PR3)";"i xyce/I(PR3)"
-1.5e+11;0.000766332;-9.04278e-07;7.39316e-07
-1e+11;0.000766332;1.72133e-06;1.91306e-05
-5e+10;0.000766332;-0.00204107;-0.00116876
0;0.000766332;-4.97215e-20;0
5e+10;0.000766332;-0.00204107;0.00116876
1e+11;0.000766332;1.72133e-06;-1.91306e-05
1.5e+11;0.000766332;-9.04278e-07;-7.39316e-07
2e+11;0.000766332;-6.33408e-08;1.34716e-08
2.5e+11;0.000766332;-4.56692e-10;7.64001e-09
-2.5e+11;0.00078593;-5.40909e-10;-8.69069e-09
-2e+11;0.00078593;-7.04483e-08;-1.51125e-08
-1.5e+11;0.00078593;-9.78352e-07;7.98142e-07
-1e+11;0.00078593;1.8174e-06;2.01447e-05
-5e+10;0.00078593;-0.00209299;-0.0011986
0;0.00078593;-7.09593e-20;0
5e+10;0.00078593;-0.00209299;0.0011986
1e+11;0.00078593;1.8174e-06;-2.01447e-05
1.5e+11;0.00078593;-9.78352e-07;-7.98142e-07
2e+11;0.00078593;-7.04483e-08;1.51125e-08
2.5e+11;0.00078593;-5.40909e-10;8.69069e-09
-2.5e+11;0.000805528;-6.38009e-10;-9.85736e-09
-2e+11;0.000805528;-7.81738e-08;-1.69172e-08
-1.5e+11;0.000805528;-1.05662e-06;8.60094e-07
-1e+11;0.000805528;1.91652e-06;2.11871e-05
-5e+10;0.000805528;-0.00214489;-0.00122844
0;0.000805528;2.61991e-19;0
5e+10;0.000805528;-0.00214489;0.00122844
1e+11;0.000805528;1.91652e-06;-2.11871e-05
1.5e+11;0.000805528;-1.05662e-06;-8.60094e-07
2e+11;0.000805528;-7.81738e-08;1.69172e-08
2.5e+11;0.000805528;-6.38009e-10;9.85736e-09
-2.5e+11;0.000825126;-7.4954e-10;-1.11502e-08
-2e+11;0.000825126;-8.65585e-08;-1.88993e-08
-1.5e+11;0.000825126;-1.13923e-06;9.25268e-07
-1e+11;0.000825126;2.01873e-06;2.22583e-05
-5e+10;0.000825126;-0.00219677;-0.00125828
0;0.000825126;1.59124e-19;0
5e+10;0.000825126;-0.00219677;0.00125828
1e+11;0.000825126;2.01873e-06;-2.22583e-05
1.5e+11;0.000825126;-1.13923e-06;-9.25268e-07
2e+11;0.000825126;-8.65585e-08;1.88993e-08
2.5e+11;0.000825126;-7.4954e-10;1.11502e-08
-2.5e+11;0.000844724;-8.77176e-10;-1.258e-08
-2e+11;0.000844724;-9.56458e-08;-2.10733e-08
-1.5e+11;0.000844724;-1.22635e-06;9.93763e-07
-1e+11;0.000844724;2.12408e-06;2.33585e-05
-5e+10;0.000844724;-0.00224864;-0.00128812
0;0.000844724;1.47769e-19;0
5e+10;0.000844724;-0.00224864;0.00128812
1e+11;0.000844724;2.12408e-06;-2.33585e-05
1.5e+11;0.000844724;-1.22635e-06;-9.93763e-07
2e+11;0.000844724;-9.56458e-08;2.10733e-08
2.5e+11;0.000844724;-8.77176e-10;1.258e-08
-2.5e+11;0.000864322;-1.02273e-09;-1.41586e-08
-2e+11;0.000864322;-1.05482e-07;-2.3455e-08
-1.5e+11;0.000864322;-1.31812e-06;1.06568e-06
-1e+11;0.000864322;2.23258e-06;2.44879e-05
-5e+10;0.000864322;-0.00230048;-0.00131796
0;0.000864322;-7.51903e-20;0
5e+10;0.000864322;-0.00230048;0.00131796
1e+11;0.000864322;2.23258e-06;-2.44879e-05
1.5e+11;0.000864322;-1.31812e-06;-1.06568e-06
2e+11;0.000864322;-1.05482e-07;2.3455e-08
2.5e+11;0.000864322;-1.02273e-09;1.41586e-08
-2.5e+11;0.00088392;-1.18814e-09;-1.58984e-08
-2e+11;0.00088392;-1.16116e-07;-2.60613e-08
-1.5e+11;0.00088392;-1.41473e-06;1.14112e-06
-1e+11;0.00088392;2.34428e-06;2.56469e-05
-5e+10;0.00088392;-0.0023523;-0.0013478
0;0.00088392;2.40742e-20;0
5e+10;0.00088392;-0.0023523;0.0013478
1e+11;0.00088392;2.34428e-06;-2.56469e-05
1.5e+11;0.00088392;-1.41473e-06;-1.14112e-06
2e+11;0.00088392;-1.16116e-07;2.60613e-08
2.5e+11;0.00088392;-1.18814e-09;1.58984e-08
-2.5e+11;0.000903518;-1.37551e-09;-1.7813e-08
-2e+11;0.000903518;-1.27598e-07;-2.89104e-08
-1.5e+11;0.000903518;-1.51634e-06;1.22019e-06
-1e+11;0.000903518;2.45921e-06;2.68359e-05
-5e+10;0.000903518;-0.0024041;-0.00137764
0;0.000903518;-4.4336e-22;0
5e+10;0.000903518;-0.0024041;0.00137764
1e+11;0.000903518;2.45921e-06;-2.68359e-05
1.5e+11;0.000903518;-1.51634e-06;-1.22019e-06
2e+11;0.000903518;-1.27598e-07;2.89104e-08
2.5e+11;0.000903518;-1.37551e-09;1.7813e-08
-2.5e+11;0.000923116;-1.58707e-09;-1.99169e-08
-2e+11;0.000923116;-1.39985e-07;-3.20218e-08
-1.5e+11;0.000923116;-1.62313e-06;1.30301e-06
-1e+11;0.000923116;2.5774e-06;2.80553e-05
-5e+10;0.000923116;-0.00245588;-0.00140749
0;0.000923116;5.91977e-20;0
5e+10;0.000923116;-0.00245588;0.00140749
1e+11;0.000923116;2.5774e-06;-2.80553e-05
1.5e+11;0.000923116;-1.62313e-06;-1.30301e-06
2e+11;0.000923116;-1.39985e-07;3.20218e-08
2.5e+11;0.000923116;-1.58707e-09;1.99169e-08
-2.5e+11;0.000942714;-1.8252e-09;-2.22257e-08
